gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
HBB	ENSG00000244734	MONDO_0018023	MONDO_0005570	blood	5164315.5
HBB	ENSG00000244734	MONDO_0054801	MONDO_0005570	blood	5164315.5
HBB	ENSG00000244734	MONDO_0011381	MONDO_0005570	blood	5164315.5
HBB	ENSG00000244734	MONDO_0020459	MONDO_0005570	blood	5164315.5
HBB	ENSG00000244734	MONDO_0013517	MONDO_0005570	blood	5164315.5
FN1	ENSG00000115414	MONDO_0008479	MONDO_0003900	connective tissue	3473830.5
MT-ND4	ENSG00000198886	MONDO_0009723	MONDO_0005066	endocrine gland	3180964.5
MT-ND4	ENSG00000198886	MONDO_0044970	MONDO_0044970	liver	3180964.5
MT-ATP6	ENSG00000198899	MONDO_0044970	MONDO_0044970	brain	1612472.0
MT-ATP6	ENSG00000198899	MONDO_0009723	MONDO_0044970	brain	1612472.0
CEL	ENSG00000170835	MONDO_0012348	MONDO_0005066	pancreas	1515576.0
MT-ND1	ENSG00000198888	MONDO_0009723	MONDO_0044970	musculature	1452640.5
MT-ND1	ENSG00000198888	MONDO_0044970	MONDO_0044970	musculature	1452640.5
MYH6	ENSG00000197616	MONDO_0005045	MONDO_0004995	heart	1274599.0
MYH6	ENSG00000197616	MONDO_0005021	MONDO_0004995	heart	1274599.0
MYH6	ENSG00000197616	MONDO_0800442	MONDO_0004995	heart	1274599.0
HBA2	ENSG00000188536	MONDO_0011399	MONDO_0005570	blood	1251103.5
HBA2	ENSG00000188536	MONDO_0020835	MONDO_0005570	blood	1251103.5
HBA2	ENSG00000188536	MONDO_0020459	MONDO_0005570	blood	1251103.5
HBA2	ENSG00000188536	MONDO_0054802	MONDO_0005570	blood	1251103.5
MYH7	ENSG00000092054	MONDO_0005453	MONDO_0004995	heart	1161082.0
MYH7	ENSG00000092054	MONDO_0016587	MONDO_0004995	heart	1161082.0
MYH7	ENSG00000092054	MONDO_0005045	MONDO_0004995	heart	1161082.0
MYH7	ENSG00000092054	MONDO_0005021	MONDO_0004995	heart	1161082.0
NPPA	ENSG00000175206	MONDO_0005021	MONDO_0004995	heart	1013220.5
GFAP	ENSG00000131095	MONDO_0008752	MONDO_0005071	spinal cord	894127.0
MT-ND5	ENSG00000198786	MONDO_0009723	MONDO_0005071	brain	867341.0
MT-ND5	ENSG00000198786	MONDO_0044970	MONDO_0044970	brain	867341.0
DES	ENSG00000175084	MONDO_0005021	MONDO_0004995	heart	741669.5
DES	ENSG00000175084	MONDO_0016587	MONDO_0004995	heart	741669.5
ACTB	ENSG00000075624	MONDO_0100433	MONDO_0005570	blood	734616.0
MYH11	ENSG00000133392	MONDO_0019625	MONDO_0004995	vasculature	732376.0
MYH11	ENSG00000133392	MONDO_0005453	MONDO_0004995	vasculature	732376.0
FLNA	ENSG00000196924	MONDO_0019625	MONDO_0004995	vasculature	652907.5
ACTC1	ENSG00000159251	MONDO_0005045	MONDO_0004995	heart	625028.5
ACTC1	ENSG00000159251	MONDO_0005021	MONDO_0004995	heart	625028.5
ACTC1	ENSG00000159251	MONDO_0016587	MONDO_0004995	heart	625028.5
ACTB	ENSG00000075624	MONDO_0017579	MONDO_0005071	brain	571492.0
HBA1	ENSG00000206172	MONDO_0054802	MONDO_0005570	blood	511894.0
HBA1	ENSG00000206172	MONDO_0020835	MONDO_0005570	blood	511894.0
HBA1	ENSG00000206172	MONDO_0020459	MONDO_0005570	blood	511894.0
TNNT2	ENSG00000118194	MONDO_0005045	MONDO_0004995	heart	507067.5
TNNT2	ENSG00000118194	MONDO_0016587	MONDO_0004995	heart	507067.5
TNNT2	ENSG00000118194	MONDO_0005021	MONDO_0004995	heart	507067.5
PLP1	ENSG00000123560	MONDO_0010714	MONDO_0005071	spinal cord	444619.0
TPM1	ENSG00000140416	MONDO_0016587	MONDO_0004995	heart	410534.5
TPM1	ENSG00000140416	MONDO_0005021	MONDO_0004995	heart	410534.5
TPM1	ENSG00000140416	MONDO_0005045	MONDO_0004995	heart	410534.5
MYL2	ENSG00000111245	MONDO_0016587	MONDO_0004995	heart	386693.0
MYL2	ENSG00000111245	MONDO_0012112	MONDO_0004995	heart	386693.0
MYL2	ENSG00000111245	MONDO_0005045	MONDO_0004995	heart	386693.0
MYL2	ENSG00000111245	MONDO_0005021	MONDO_0004995	heart	386693.0
COL1A2	ENSG00000164692	MONDO_0008147	MONDO_0002081	musculature	371949.0
COL1A2	ENSG00000164692	MONDO_0008146	MONDO_0002081	musculature	371949.0
COL1A2	ENSG00000164692	MONDO_0008148	MONDO_0002081	musculature	371949.0
COL1A2	ENSG00000164692	MONDO_0009804	MONDO_0002081	musculature	371949.0
ACTA2	ENSG00000107796	MONDO_0019625	MONDO_0004995	vasculature	371251.0
ANKRD1	ENSG00000148677	MONDO_0005453	MONDO_0004995	heart	357397.0
ANKRD1	ENSG00000148677	MONDO_0005021	MONDO_0004995	heart	357397.0
ANKRD1	ENSG00000148677	MONDO_0005045	MONDO_0004995	heart	357397.0
DSP	ENSG00000096696	MONDO_0011581	MONDO_0002051	skin of body	351867.0
MT-ND3	ENSG00000198840	MONDO_0009723	MONDO_0044970	brain	331035.0
MT-ND3	ENSG00000198840	MONDO_0044970	MONDO_0044970	brain	331035.0
COL1A1	ENSG00000108821	MONDO_0008146	MONDO_0002081	musculature	304405.0
COL1A1	ENSG00000108821	MONDO_0008147	MONDO_0002081	musculature	304405.0
COL1A1	ENSG00000108821	MONDO_0009804	MONDO_0002081	musculature	304405.0
COL1A1	ENSG00000108821	MONDO_0008148	MONDO_0002081	musculature	304405.0
COL1A1	ENSG00000108821	MONDO_0007244	MONDO_0002081	musculature	304405.0
TTN	ENSG00000155657	MONDO_0100175	MONDO_0002081	musculature	300574.0
TTN	ENSG00000155657	MONDO_0011362	MONDO_0002081	musculature	300574.0
TTN	ENSG00000155657	MONDO_0010870	MONDO_0002081	musculature	300574.0
TTN	ENSG00000155657	MONDO_0005021	MONDO_0002081	musculature	300574.0
TTN	ENSG00000155657	MONDO_0016587	MONDO_0002081	musculature	300574.0
TTN	ENSG00000155657	MONDO_0005045	MONDO_0002081	musculature	300574.0
MT-ND6	ENSG00000198695	MONDO_0009723	MONDO_0044970	brain	282091.0
MT-ND6	ENSG00000198695	MONDO_0044970	MONDO_0044970	brain	282091.0
TPM2	ENSG00000198467	MONDO_0100196	MONDO_0002081	musculature	253237.0
MYBPC3	ENSG00000134571	MONDO_0016587	MONDO_0004995	heart	247786.0
MYBPC3	ENSG00000134571	MONDO_0005453	MONDO_0004995	heart	247786.0
MYBPC3	ENSG00000134571	MONDO_0005021	MONDO_0004995	heart	247786.0
MYBPC3	ENSG00000134571	MONDO_0005045	MONDO_0004995	heart	247786.0
CD79A	ENSG00000105369	MONDO_0013288	MONDO_0005570	blood	247099.0
COL6A3	ENSG00000163359	MONDO_0100225	MONDO_0002081	musculature	230439.0
CSRP1	ENSG00000159176	MONDO_0005453	MONDO_0004995	vasculature	228378.0
NEB	ENSG00000183091	MONDO_0009725	MONDO_0002081	musculature	222596.5
MYL3	ENSG00000160808	MONDO_0016587	MONDO_0004995	heart	215552.0
MYL3	ENSG00000160808	MONDO_0005045	MONDO_0004995	heart	215552.0
MYL3	ENSG00000160808	MONDO_0005021	MONDO_0004995	heart	215552.0
RYR1	ENSG00000196218	MONDO_0100150	MONDO_0002081	musculature	207272.0
PLN	ENSG00000198523	MONDO_0016587	MONDO_0004995	heart	206886.0
PLN	ENSG00000198523	MONDO_0000591	MONDO_0004995	heart	206886.0
MYH9	ENSG00000100345	MONDO_0015912	MONDO_0005570	blood	205608.5
PTPRC	ENSG00000081237	MONDO_0012163	MONDO_0005046	immune organ	186421.0
TFRC	ENSG00000072274	MONDO_0014760	MONDO_0005046	immune organ	185020.5
ACTG1	ENSG00000184009	MONDO_0013812	MONDO_0005071	brain	182294.0
ACTG1	ENSG00000184009	MONDO_0019497	MONDO_0005071	brain	182294.0
RPL5	ENSG00000122406	MONDO_0012937	MONDO_0005570	blood	180622.0
ACTA1	ENSG00000143632	MONDO_0100084	MONDO_0002081	musculature	178945.5
AGXT	ENSG00000172482	MONDO_0100278	MONDO_0005066	endocrine gland	178116.5
TUBB4A	ENSG00000104833	MONDO_0800470	MONDO_0005071	brain	162836.0
PSAP	ENSG00000197746	MONDO_0009590	MONDO_0005071	brain	161664.0
VWF	ENSG00000110799	MONDO_0019565	MONDO_0005570	blood	160648.5
VWF	ENSG00000110799	MONDO_0015629	MONDO_0005570	blood	160648.5
ACTN2	ENSG00000077522	MONDO_0000591	MONDO_0004995	heart	157364.0
DNM1	ENSG00000106976	MONDO_0100062	MONDO_0005071	brain	156356.0
ATP1A3	ENSG00000105409	MONDO_0700002	MONDO_0005071	brain	150978.0
SNAP25	ENSG00000132639	MONDO_0100062	MONDO_0005071	brain	146955.0
TCAP	ENSG00000173991	MONDO_0005045	MONDO_0004995	heart	145771.0
TCAP	ENSG00000173991	MONDO_0005021	MONDO_0004995	heart	145771.0
KIF1A	ENSG00000130294	MONDO_0000508	MONDO_0005071	brain	145369.0
MYH7	ENSG00000092054	MONDO_0008050	MONDO_0002081	musculature	143644.0
MPZ	ENSG00000158887	MONDO_0015626	MONDO_0005071	nerve	143189.0
UMOD	ENSG00000169344	MONDO_0008264	MONDO_0002118	kidney	142049.0
SFTPA2	ENSG00000185303	MONDO_0800029	MONDO_0005087	lung	140627.5
TNNI3	ENSG00000129991	MONDO_0016587	MONDO_0004995	heart	138540.0
TNNI3	ENSG00000129991	MONDO_0005045	MONDO_0004995	heart	138540.0
TNNI3	ENSG00000129991	MONDO_0005021	MONDO_0004995	heart	138540.0
COL6A1	ENSG00000142156	MONDO_0100225	MONDO_0002081	musculature	137430.5
EEF1A2	ENSG00000101210	MONDO_0100038	MONDO_0005071	brain	137192.0
PDLIM3	ENSG00000154553	MONDO_0005045	MONDO_0002081	musculature	133045.0
PDLIM3	ENSG00000154553	MONDO_0005021	MONDO_0002081	musculature	133045.0
MSN	ENSG00000147065	MONDO_0010514	MONDO_0005046	immune organ	131349.0
TNNC1	ENSG00000114854	MONDO_0005045	MONDO_0004995	heart	129138.0
TNNC1	ENSG00000114854	MONDO_0016587	MONDO_0004995	heart	129138.0
TNNC1	ENSG00000114854	MONDO_0005021	MONDO_0004995	heart	129138.0
RPS24	ENSG00000138326	MONDO_0015253	MONDO_0005570	blood	125446.0
COL6A2	ENSG00000142173	MONDO_0100225	MONDO_0002081	musculature	125260.0
COL1A2	ENSG00000164692	MONDO_0009159	MONDO_0004995	vasculature	124168.0
COL1A2	ENSG00000164692	MONDO_0005453	MONDO_0004995	vasculature	124168.0
RPS19	ENSG00000105372	MONDO_0015253	MONDO_0005570	blood	118018.0
LDB3	ENSG00000122367	MONDO_0016587	MONDO_0004995	heart	115290.5
LDB3	ENSG00000122367	MONDO_0005021	MONDO_0004995	heart	115290.5
RYR2	ENSG00000198626	MONDO_0005045	MONDO_0004995	heart	111570.0
RYR2	ENSG00000198626	MONDO_0016587	MONDO_0004995	heart	111570.0
RYR2	ENSG00000198626	MONDO_0017990	MONDO_0004995	heart	111570.0
GATM	ENSG00000171766	MONDO_0012996	MONDO_0005066	pancreas	109930.0
FLNC	ENSG00000128591	MONDO_0005021	MONDO_0002081	musculature	109593.0
FLNC	ENSG00000128591	MONDO_0018943	MONDO_0002081	musculature	109593.0
FLNC	ENSG00000128591	MONDO_0012289	MONDO_0002081	musculature	109593.0
LCP2	ENSG00000043462	MONDO_0030302	MONDO_0005046	immune organ	107576.5
GDI1	ENSG00000203879	MONDO_0019181	MONDO_0005071	brain	106452.0
CASQ2	ENSG00000118729	MONDO_0005045	MONDO_0004995	heart	103434.0
CASQ2	ENSG00000118729	MONDO_0017990	MONDO_0004995	heart	103434.0
TPM3	ENSG00000143549	MONDO_0100108	MONDO_0002081	skeletal element	103014.0
CDC42	ENSG00000070831	MONDO_0014757	MONDO_0005570	blood	101440.0
MYLK	ENSG00000065534	MONDO_0019625	MONDO_0004995	vasculature	99676.5
TUBA1A	ENSG00000167552	MONDO_0100153	MONDO_0005071	brain	99466.5
ATP1A2	ENSG00000018625	MONDO_0100539	MONDO_0005071	brain	95960.0
FBN1	ENSG00000166147	MONDO_0008426	MONDO_0003900	connective tissue	95744.5
FBN1	ENSG00000166147	MONDO_0007947	MONDO_0003900	connective tissue	95744.5
IKZF1	ENSG00000185811	MONDO_0014810	MONDO_0005570	blood	93971.5
TAT	ENSG00000198650	MONDO_0010160	MONDO_0005066	liver	93573.5
CSRP3	ENSG00000129170	MONDO_0005021	MONDO_0004995	heart	93177.0
CSRP3	ENSG00000129170	MONDO_0005045	MONDO_0004995	heart	93177.0
MYOM1	ENSG00000101605	MONDO_0005045	MONDO_0004995	heart	91750.0
PSAP	ENSG00000197746	MONDO_0012720	MONDO_0005066	endocrine gland	91709.0
PSAP	ENSG00000197746	MONDO_0012517	MONDO_0005066	endocrine gland	91709.0
PSAP	ENSG00000197746	MONDO_0012719	MONDO_0005066	endocrine gland	91709.0
MAPK8IP3	ENSG00000138834	MONDO_0032755	MONDO_0005071	brain	90288.0
KIF5A	ENSG00000155980	MONDO_0024237	MONDO_0005071	brain	88561.0
GRIN1	ENSG00000176884	MONDO_0100038	MONDO_0005071	brain	88351.0
FLNA	ENSG00000196924	MONDO_0020341	MONDO_0005071	nerve	86584.0
MAP1B	ENSG00000131711	MONDO_0020341	MONDO_0005071	brain	83179.0
ACADVL	ENSG00000072778	MONDO_0008723	MONDO_0005066	endocrine gland	82774.5
VCL	ENSG00000035403	MONDO_0005045	MONDO_0002081	skeletal element	81928.0
VCL	ENSG00000035403	MONDO_0005021	MONDO_0002081	skeletal element	81928.0
LBR	ENSG00000143815	MONDO_0018663	MONDO_0002081	skeletal element	81418.0
LBR	ENSG00000143815	MONDO_0008974	MONDO_0002081	skeletal element	81418.0
NOTCH3	ENSG00000074181	MONDO_0015924	MONDO_0004995	vasculature	79207.0
RIT1	ENSG00000143622	MONDO_0018997	MONDO_0005046	immune organ	78770.0
SERPING1	ENSG00000149131	MONDO_0033946	MONDO_0004995	vasculature	78442.5
PMP22	ENSG00000109099	MONDO_0007309	MONDO_0005071	nerve	77014.0
PMP22	ENSG00000109099	MONDO_0008087	MONDO_0005071	nerve	77014.0
MYOZ2	ENSG00000172399	MONDO_0005045	MONDO_0004995	heart	76816.0
SPTAN1	ENSG00000197694	MONDO_0100062	MONDO_0005071	brain	76361.0
BIN1	ENSG00000136717	MONDO_0018947	MONDO_0002081	musculature	75979.0
KCNQ2	ENSG00000075043	MONDO_0100038	MONDO_0005071	brain	75578.0
KCNQ2	ENSG00000075043	MONDO_0100455	MONDO_0005071	brain	75578.0
KCNQ2	ENSG00000075043	MONDO_0100456	MONDO_0005071	brain	75578.0
SYP	ENSG00000102003	MONDO_0019181	MONDO_0005071	brain	75574.5
SLC1A2	ENSG00000110436	MONDO_0014916	MONDO_0005071	brain	75462.0
CD46	ENSG00000117335	MONDO_0016244	MONDO_0005046	immune organ	75290.0
FN1	ENSG00000115414	MONDO_0011165	MONDO_0002118	bladder organ	75194.0
IL7R	ENSG00000168685	MONDO_0012163	MONDO_0005046	immune organ	74785.0
CORO1A	ENSG00000102879	MONDO_0014168	MONDO_0005046	immune organ	74511.0
STXBP1	ENSG00000136854	MONDO_0100062	MONDO_0005071	brain	74388.0
PPP2R1A	ENSG00000105568	MONDO_0100038	MONDO_0005071	brain	71793.0
RAG1	ENSG00000166349	MONDO_0000572	MONDO_0005046	immune organ	71197.0
PLEC	ENSG00000178209	MONDO_0015152	MONDO_0005071	brain	70604.0
COL3A1	ENSG00000168542	MONDO_0017314	MONDO_0004995	vasculature	69736.0
TNNT1	ENSG00000105048	MONDO_0011539	MONDO_0002081	musculature	67221.5
TNNT1	ENSG00000105048	MONDO_0018958	MONDO_0002081	musculature	67221.5
FYB1	ENSG00000082074	MONDO_0010120	MONDO_0005570	blood	66973.0
GATA1	ENSG00000102145	MONDO_0100089	MONDO_0005570	blood	66861.0
ATP1A1	ENSG00000163399	MONDO_0054833	MONDO_0005071	brain	65553.0
STK4	ENSG00000101109	MONDO_0013934	MONDO_0005046	immune organ	64334.0
SERPINE1	ENSG00000106366	MONDO_0013227	MONDO_0005570	blood	64180.5
TECRL	ENSG00000205678	MONDO_0017990	MONDO_0004995	heart	63793.0
HNRNPK	ENSG00000165119	MONDO_0018681	MONDO_0002081	skeletal element	59933.0
ARF1	ENSG00000143761	MONDO_0020341	MONDO_0005071	brain	59906.0
STX1B	ENSG00000099365	MONDO_0018214	MONDO_0005071	brain	59381.0
SLC4A3	ENSG00000114923	MONDO_0000453	MONDO_0004995	heart	58886.0
CD79B	ENSG00000007312	MONDO_0012987	MONDO_0005046	immune organ	58195.0
DLG4	ENSG00000132535	MONDO_0100038	MONDO_0005071	brain	57582.0
ATM	ENSG00000149311	MONDO_0008840	MONDO_0005046	immune organ	57137.5
TUBA4A	ENSG00000127824	MONDO_0014531	MONDO_0005071	brain	57095.0
SBF1	ENSG00000100241	MONDO_0014117	MONDO_0005071	brain	55919.0
FNIP1	ENSG00000217128	MONDO_0100432	MONDO_0005046	immune organ	55813.0
WNK1	ENSG00000060237	MONDO_0024309	MONDO_0005071	spinal cord	55796.0
CTSD	ENSG00000117984	MONDO_0016295	MONDO_0005066	endocrine gland	55329.0
KLHL41	ENSG00000239474	MONDO_0014326	MONDO_0002081	musculature	55325.5
TUBB2A	ENSG00000137267	MONDO_0100153	MONDO_0005071	brain	54582.0
TGFBR2	ENSG00000163513	MONDO_0012427	MONDO_0003900	connective tissue	54056.0
NBEAL2	ENSG00000160796	MONDO_0007686	MONDO_0005570	blood	53922.0
TCAP	ENSG00000173991	MONDO_0015152	MONDO_0002081	musculature	52633.5
STAT3	ENSG00000168610	MONDO_0007818	MONDO_0005046	immune organ	52400.0
STAT3	ENSG00000168610	MONDO_0014414	MONDO_0005570	blood	52400.0
SPI1	ENSG00000066336	MONDO_0030529	MONDO_0005570	blood	52262.5
DCTN1	ENSG00000204843	MONDO_0004976	MONDO_0005071	brain	52213.0
F13A1	ENSG00000124491	MONDO_0013187	MONDO_0005570	blood	50786.0
ITGB3	ENSG00000259207	MONDO_0100326	MONDO_0005570	blood	49561.0
ITGB3	ENSG00000259207	MONDO_0008552	MONDO_0005570	blood	49561.0
RPL10	ENSG00000147403	MONDO_0020119	MONDO_0005071	nerve	49429.0
TPM4	ENSG00000167460	MONDO_0100487	MONDO_0005570	blood	49113.0
SPEG	ENSG00000072195	MONDO_0014418	MONDO_0002081	musculature	48436.0
TNNC2	ENSG00000101470	MONDO_0005045	MONDO_0002081	musculature	48423.5
PRX	ENSG00000105227	MONDO_0018995	MONDO_0005071	nerve	47962.0
CNTN2	ENSG00000184144	MONDO_0100038	MONDO_0005071	brain	47205.5
DOCK8	ENSG00000107099	MONDO_0009478	MONDO_0005046	immune organ	46890.0
CHN1	ENSG00000128656	MONDO_0011444	MONDO_0005071	brain	46612.0
SYN1	ENSG00000008056	MONDO_0100148	MONDO_0005071	brain	46574.0
MAG	ENSG00000105695	MONDO_0015150	MONDO_0005071	brain	45615.5
RAC2	ENSG00000128340	MONDO_0033554	MONDO_0005046	immune organ	45513.5
RAC2	ENSG00000128340	MONDO_0011988	MONDO_0005046	immune organ	45513.5
RAC2	ENSG00000128340	MONDO_0033555	MONDO_0005046	immune organ	45513.5
ECHS1	ENSG00000127884	MONDO_0009723	MONDO_0044970	liver	45371.5
ECHS1	ENSG00000127884	MONDO_0014563	MONDO_0044970	liver	45371.5
GLUD1	ENSG00000148672	MONDO_0011717	MONDO_0005066	endocrine gland	45258.0
PKP2	ENSG00000057294	MONDO_0005021	MONDO_0004995	heart	44716.0
PKP2	ENSG00000057294	MONDO_0011001	MONDO_0004995	heart	44716.0
PKP2	ENSG00000057294	MONDO_0017990	MONDO_0004995	heart	44716.0
PKP2	ENSG00000057294	MONDO_0016587	MONDO_0004995	heart	44716.0
LYST	ENSG00000143669	MONDO_0008963	MONDO_0005046	immune organ	43728.0
PIK3R1	ENSG00000145675	MONDO_0014083	MONDO_0005570	blood	43628.0
ENG	ENSG00000106991	MONDO_0008535	MONDO_0004995	heart	43479.0
IL2RG	ENSG00000147168	MONDO_0010315	MONDO_0005046	immune organ	43300.0
APC2	ENSG00000115266	MONDO_0018838	MONDO_0005071	brain	42959.0
PPP1CB	ENSG00000213639	MONDO_0011899	MONDO_0002081	skeletal element	42376.0
CSDE1	ENSG00000009307	MONDO_0100038	MONDO_0005071	brain	41978.5
SCP2	ENSG00000116171	MONDO_0013391	MONDO_0005066	liver	41495.5
NEFL	ENSG00000277586	MONDO_0018993	MONDO_0005071	brain	41460.0
NEFL	ENSG00000277586	MONDO_0015626	MONDO_0005071	brain	41460.0
RAF1	ENSG00000132155	MONDO_0018997	MONDO_0005046	immune organ	41091.5
C1QB	ENSG00000173369	MONDO_0013343	MONDO_0005046	immune organ	41074.0
PRF1	ENSG00000180644	MONDO_0011337	MONDO_0005046	immune organ	40342.0
NEXN	ENSG00000162614	MONDO_0005021	MONDO_0004995	heart	40146.0
NEXN	ENSG00000162614	MONDO_0005045	MONDO_0004995	heart	40146.0
CALM1	ENSG00000198668	MONDO_0002442	MONDO_0004995	heart	39947.0
CALM1	ENSG00000198668	MONDO_0017990	MONDO_0004995	heart	39947.0
ATP13A2	ENSG00000159363	MONDO_0011706	MONDO_0005071	brain	39623.0
DOCK2	ENSG00000134516	MONDO_0014637	MONDO_0005046	immune organ	39541.0
C3	ENSG00000125730	MONDO_0013892	MONDO_0002118	bladder organ	39220.0
HSPG2	ENSG00000142798	MONDO_0100435	MONDO_0002081	musculature	38724.0
HSPG2	ENSG00000142798	MONDO_0009140	MONDO_0002081	musculature	38724.0
DNAJC5	ENSG00000101152	MONDO_0019260	MONDO_0005071	brain	38483.0
ZBTB18	ENSG00000179456	MONDO_0100038	MONDO_0005071	brain	38088.0
TUBB4B	ENSG00000188229	MONDO_0060650	MONDO_0005071	brain	37808.0
IKZF1	ENSG00000185811	MONDO_0007179	MONDO_0005046	immune organ	37374.0
POLR2A	ENSG00000181222	MONDO_0032829	MONDO_0005071	brain	37298.0
SLC1A3	ENSG00000079215	MONDO_0012982	MONDO_0005071	brain	37234.0
INS	ENSG00000254647	MONDO_0015967	MONDO_0005066	pancreas	36685.0
GFI1B	ENSG00000165702	MONDO_0008553	MONDO_0005570	blood	36537.0
TAPBP	ENSG00000231925	MONDO_0011476	MONDO_0005046	immune organ	36397.0
COL7A1	ENSG00000114270	MONDO_0009179	MONDO_0002051	skin of body	36303.0
SHOC2	ENSG00000108061	MONDO_0018997	MONDO_0005046	immune organ	35919.0
DSP	ENSG00000096696	MONDO_0005045	MONDO_0004995	heart	35816.5
NFKB1	ENSG00000109320	MONDO_0014697	MONDO_0005570	blood	35584.0
GNAO1	ENSG00000087258	MONDO_0100062	MONDO_0005071	brain	34981.0
GNAO1	ENSG00000087258	MONDO_0005395	MONDO_0005071	brain	34981.0
SLC2A1	ENSG00000117394	MONDO_0000188	MONDO_0005071	nerve	34966.0
HNRNPU	ENSG00000153187	MONDO_0100038	MONDO_0005071	brain	34943.0
DST	ENSG00000151914	MONDO_0013839	MONDO_0005071	spinal cord	34829.0
KIF5C	ENSG00000168280	MONDO_0014116	MONDO_0005071	brain	34581.0
IRF4	ENSG00000137265	MONDO_0015131	MONDO_0005046	immune organ	34445.0
DNAJB6	ENSG00000105993	MONDO_0015151	MONDO_0002081	skeletal element	34183.0
ABCC4	ENSG00000125257	MONDO_0001197	MONDO_0005570	blood	33849.0
LMNA	ENSG00000160789	MONDO_0006573	MONDO_0002051	skin of body	33795.0
KIF1B	ENSG00000054523	MONDO_0007308	MONDO_0005071	brain	33636.0
CTNNA1	ENSG00000044115	MONDO_0018630	MONDO_0004335	esophagus	33602.5
CTNNA1	ENSG00000044115	MONDO_0100256	MONDO_0004335	esophagus	33602.5
PNPLA6	ENSG00000032444	MONDO_0100149	MONDO_0005071	brain	33443.0
MYH2	ENSG00000125414	MONDO_0011577	MONDO_0002081	musculature	33366.5
PRPF8	ENSG00000174231	MONDO_0700234	MONDO_0005071	brain	32873.0
CTNND1	ENSG00000198561	MONDO_0040503	MONDO_0002051	skin of body	32818.5
ALPK3	ENSG00000136383	MONDO_0005045	MONDO_0002081	musculature	32551.0
ANK2	ENSG00000145362	MONDO_0100038	MONDO_0005071	brain	32428.0
NTRK3	ENSG00000140538	MONDO_0005453	MONDO_0004995	vasculature	32010.0
GNS	ENSG00000135677	MONDO_0009658	MONDO_0005066	endocrine gland	31599.0
CALM2	ENSG00000143933	MONDO_0002442	MONDO_0004995	vasculature	31576.5
CALM2	ENSG00000143933	MONDO_0017990	MONDO_0004995	vasculature	31576.5
TUBB1	ENSG00000101162	MONDO_0800047	MONDO_0005570	blood	31430.0
NDUFV1	ENSG00000167792	MONDO_0009723	MONDO_0044970	brain	31398.0
REL	ENSG00000162924	MONDO_0030498	MONDO_0005046	immune organ	31268.0
TUBA4A	ENSG00000127824	MONDO_0015372	MONDO_0005570	blood	31077.0
SET	ENSG00000119335	MONDO_0001071	MONDO_0005071	brain	30944.0
JAK3	ENSG00000105639	MONDO_0010938	MONDO_0005046	immune organ	30909.0
RAF1	ENSG00000132155	MONDO_0007893	MONDO_0002081	skeletal element	30825.0
RAF1	ENSG00000132155	MONDO_0015280	MONDO_0002081	skeletal element	30825.0
RAF1	ENSG00000132155	MONDO_0009026	MONDO_0002081	skeletal element	30825.0
ID2	ENSG00000115738	MONDO_0005453	MONDO_0004995	vasculature	30357.0
BAAT	ENSG00000136881	MONDO_0100305	MONDO_0005066	endocrine gland	30234.0
RELN	ENSG00000189056	MONDO_0019450	MONDO_0005071	brain	30167.0
RELN	ENSG00000189056	MONDO_0100038	MONDO_0005071	brain	30167.0
LMNA	ENSG00000160789	MONDO_0005021	MONDO_0004995	vasculature	30166.0
LMNA	ENSG00000160789	MONDO_0016587	MONDO_0004995	vasculature	30166.0
HNRNPDL	ENSG00000152795	MONDO_0015151	MONDO_0002081	skeletal element	30037.0
GJA1	ENSG00000152661	MONDO_0005453	MONDO_0004995	heart	30032.0
CAV1	ENSG00000105974	MONDO_0015924	MONDO_0004995	vasculature	29763.0
WIPF1	ENSG00000115935	MONDO_0013779	MONDO_0005046	immune organ	29755.0
IKZF2	ENSG00000030419	MONDO_0800139	MONDO_0005046	immune organ	29628.0
HUWE1	ENSG00000086758	MONDO_0019181	MONDO_0005071	brain	29407.0
ZEB2	ENSG00000169554	MONDO_0009341	MONDO_0005071	spinal cord	29276.0
TBXAS1	ENSG00000059377	MONDO_0009274	MONDO_0002081	skeletal element	29106.0
B4GAT1	ENSG00000174684	MONDO_0014120	MONDO_0005071	brain	29056.0
FLI1	ENSG00000151702	MONDO_0054577	MONDO_0005570	blood	28923.0
LMAN1	ENSG00000074695	MONDO_0009206	MONDO_0005570	blood	28664.5
TSPAN7	ENSG00000156298	MONDO_0019181	MONDO_0005071	brain	28570.0
DNAJB2	ENSG00000135924	MONDO_0014866	MONDO_0005071	brain	28564.0
FUS	ENSG00000089280	MONDO_0011951	MONDO_0005071	brain	28030.0
BTK	ENSG00000010671	MONDO_0010421	MONDO_0005046	immune organ	28004.0
ACTN1	ENSG00000072110	MONDO_0014078	MONDO_0005570	blood	28004.0
HADHA	ENSG00000084754	MONDO_0012173	MONDO_0004995	heart	27714.0
CFL2	ENSG00000165410	MONDO_0012538	MONDO_0002081	musculature	27299.0
MAP3K20	ENSG00000091436	MONDO_0054695	MONDO_0002081	musculature	27248.0
ARL6IP1	ENSG00000170540	MONDO_0019064	MONDO_0005071	brain	27236.5
SLC34A1	ENSG00000131183	MONDO_0013247	MONDO_0002118	kidney	26961.0
